Gene,log2FC,p-value
LOC105373102_1,0.609171125,0.755963212
NUP133,0.043758265,0.756075317
C10orf126,-0.544922383,0.756090053
LOC105378620,-0.544922308,0.756090053
HBB,0.626447765,0.756090053
HELZ,0.08413254,0.7562835
LOC105375021_2,0.61531609,0.756310019
LOC105377769,-0.429806477,0.756559271
LOC105374253,-0.546766632,0.756568673
LOC100192426,0.598458426,0.756568673
LOC107985992,0.631619326,0.756568673
PITPNA-AS1,-0.12365167,0.756593243
SLC23A1,0.170197477,0.756692487
LOC105370117,0.519083385,0.756834086
ADIRF-AS1,-0.176462273,0.756934234
LOC107986515,-0.567743625,0.756964336
BRWD1-AS1,-0.438766412,0.756964336
TNRC17,-0.619927642,0.757073994
LOC105374470,-0.443994855,0.757073994
UBE2J2,-0.078709391,0.757130635
LNX1-AS2,0.39549549,0.757190149
LINC02138,-0.628505004,0.757257752
CAPN9,0.428490314,0.75726669
ECMXP,-0.615690663,0.757332061
LOC105370312,-0.59058937,0.757347185
LOC105373409,-0.613155312,0.757354791
LRTOMT,-0.258349439,0.757354791
LIX1L,-0.119661944,0.757354791
UBE2L3,-0.05672571,0.757377485
LOC107987158,-0.520984788,0.757415848
LOC105371630,-0.399114565,0.758110849
SNORD61,-0.540854647,0.758240436
METTL14-DT,0.304679762,0.758293557
LOC284798,0.504972689,0.758293557
GJB6,-0.544185177,0.758362284
LOC105373167,0.612716255,0.758445591
LLPH-DT,0.169682947,0.758774341
DYNAP,0.621544662,0.758803317
KRT10,-0.073297707,0.758915314
LINC02802,0.623764429,0.758915314
KLK11,-0.620083818,0.759152362
LOC105370148,-0.551849766,0.759161714
LOC652276,0.09796865,0.759161714
LOC105371366,0.612655664,0.759161714
LOC105374973,0.565746756,0.759482196
LOC107987282,-0.623409581,0.759696562
FOXCUT,-0.430181901,0.759696562
PDE2A-AS2,-0.263416334,0.759698838
LINC01964,0.428233027,0.759708861
LINC02526,0.553997763,0.759764267
LOC105376825,0.3562477,0.75982589
AK6_1,-0.514859018,0.759933272
FBXO34,0.059878451,0.759933272
MAP1S,0.066534733,0.759933272
INO80D,0.27091181,0.759933272
LOC105374370,0.556123665,0.759933272
MVD,0.107293057,0.759968254
LOC105375231,-0.611221353,0.759982344
UQCRBP1,0.186479563,0.760316437
PCDHGA6,-0.295472466,0.760346995
CLEC4D,-0.402051191,0.760522324
PNKD,0.09350366,0.760522324
ANKRD26,0.112304616,0.760522324
LOC105373928,-0.542750734,0.760579175
EMX2OS,0.299870699,0.760579175
BFSP2,0.393216075,0.760755795
LOC107984999,0.49749505,0.760755795
C11orf91,-0.208866151,0.760759866
DXO_2,0.617934117,0.760791278
MLLT10P1,0.307268449,0.7608372
LOC102724687,0.150616576,0.760885996
LOC101929532,0.590554457,0.76097919
LOC105377806,0.610871819,0.761323844
LOC105375957,0.51917631,0.761439998
ZNF595,-0.538291568,0.761505464
TSTD3,-0.114448793,0.761505464
CHST5,0.096206981,0.761505464
LOC105372521,0.423370814,0.761505464
LOC105377714,-0.616299984,0.761666414
LOC112268085,-0.455169894,0.761761229
LINC02736,0.485460968,0.761761229
UBE2E1-AS1,-0.247847258,0.761932996
LOC107984525,-0.248921285,0.761949915
HCAR3,0.569526555,0.761963436
P2RY13,0.617411905,0.761963436
LINC02652,-0.605596603,0.76204274
CCR4,-0.503868326,0.76204274
TRAPPC2L,-0.083210716,0.76204274
HMGCL,0.104184833,0.76204274
KCNRG,0.172905053,0.762061747
LOC107986626,0.47513046,0.762061747
TBCD,-0.055826177,0.762082024
H2AC6,-0.221326276,0.762189932
LOC105376001,-0.592950166,0.762197776
ITGA7,0.076852162,0.762220291
LOC105378975,0.487737518,0.762220291
LINC00606,0.492271701,0.762220291
C2orf49,-0.046684353,0.76246849
FAM27E2,-0.590750712,0.762545366
SLC30A9,-0.044485973,0.762568397
LOC399900,-0.144725712,0.762673302
CLDN23,-0.266999663,0.762675618
RIPPLY1,-0.530405575,0.762923327
ZNF846,-0.108399954,0.762961781
MBD3L2B,-0.598264793,0.763056529
LOC107984335,-0.493077374,0.763056529
HERC6,-0.252382362,0.763190099
EXOC3L4,0.279081137,0.763326536
LRRC39,0.19045411,0.763732065
SMC6,-0.066191429,0.763735403
H4C4,-0.421636515,0.763751486
SMN1_2,-0.248939939,0.763751486
TMEM82,-0.565569338,0.763761863
LOC105369759,-0.40899892,0.763761863
FAM83A,-0.589909554,0.763804284
CA4,0.230558735,0.763853337
LOC112268144,-0.603279079,0.764099501
MSS51,-0.147023704,0.76428253
TBCE_1,0.372578572,0.76461651
ADCK1,0.077972204,0.764668072
LOC112268092,0.222474152,0.764692524
LOC105379107,-0.590338567,0.764945599
SPSB4,0.138814009,0.765351171
UGP2,-0.060993608,0.76546485
FRMD6-AS1,-0.213565934,0.765579193
DHRS4-AS1,0.338484759,0.765665815
MIR7-2,-0.596629775,0.765678551
LOC105370811,0.559077633,0.765697032
LOC105377157,0.59127945,0.765809589
WDR46_4,-0.474795066,0.765852544
KCNK2,-0.374935614,0.765852544
GPR101,0.424469586,0.765852544
LOC105371059,0.608692313,0.766176512
LOC102724618,0.494351127,0.766186678
LOC105374145,0.600138955,0.766286466
SPATA22,-0.500697266,0.766631813
CFAP300,0.107307481,0.766631813
LOC105376625,0.527795172,0.766631813
LOC105371363,0.282508257,0.766734839
HTRA4,-0.606879988,0.767016079
LOC105374889,0.21402084,0.76704024
LOC107984906,0.425236245,0.76704024
ZNRD1ASP_3,-0.606718417,0.767051783
HSPC102,-0.521922575,0.767074468
KCNQ1OT1,0.253951993,0.767492319
MMP21,0.473990558,0.767492319
LOC105374911,0.572423262,0.76780192
LOC101926886,0.346331462,0.767930828
LOC105370781,0.520371083,0.767964468
ST3GAL5-AS1,0.602342343,0.768012848
TUBGCP3_1,-0.435778072,0.768508361
LOC154761_1,0.598320564,0.768771869
ADAM32,0.447736964,0.768804942
COL11A2_4,-0.579246408,0.768836913
LOC105373824,0.560936731,0.768836913
MIR9851,0.389130155,0.76886794
LOC105375237,0.412563811,0.768874366
DYNLT2,0.566740812,0.768874366
CD53,-0.477388744,0.768930785
LOC107984128,-0.232878141,0.768930785
ATOX1-AS1,-0.273880354,0.768965676
LOC105373181,0.209801542,0.769057311
DUOX2,0.334733403,0.769091802
LOC105379404,-0.603246451,0.769144473
LOC100996842,0.141923569,0.769144473
STX8,0.082013704,0.769343175
TCF20_2,0.508449244,0.76935687
LOC100129540,-0.586943967,0.769440951
PAN3-AS1,0.24494446,0.769578589
LINC02136,0.597067824,0.769635469
LOC105373689,0.274413727,0.769721857
LINC01756,-0.591111973,0.769755518
LRRC77P,-0.37533782,0.770011792
HGS,0.047204224,0.770107275
UBE2R2,0.048374552,0.770220742
GTF2H4_4,-0.568801016,0.770315973
NDUFAB1,-0.077751041,0.770315973
HSD17B7,0.073202043,0.770315973
LOC105371372,0.378781429,0.770315973
MARK4,-0.119088709,0.770330991
ST3GAL3-AS1,0.568827089,0.770352063
LOC105374573,0.40874073,0.770616582
CDCP2,-0.215239922,0.770622185
LINC00974,-0.563379099,0.770624824
ZNF574,-0.041099563,0.770624824
C12orf43,0.058636322,0.770810686
ESAM-AS1,0.246559511,0.770938896
RTKN,-0.065735262,0.771135133
ASB3,-0.118018282,0.771230812
LOC105373430,0.588239133,0.771318039
ZNF66_1,-0.292586599,0.771322194
LOC105373951,-0.333609429,0.771358945
MRFAP1,0.064062125,0.771367222
LOC105374464,0.584010919,0.771367222
LOC105374120,0.580902576,0.771688845
LOC105378697,0.592745998,0.771740102
RFPL3S,-0.25303001,0.771761832
LOC101927026,-0.572615417,0.772159893
PIBF1,-0.065302481,0.772490064
LOC105373796,-0.256585658,0.77261441
LOC100505918,-0.586313452,0.772789721
LOC105376644,0.51078715,0.772789721
LOC112268327,-0.567611031,0.772962861
RNF5,0.553473019,0.772962861
LOC100133050,-0.289869006,0.772999343
SNX1,-0.05288623,0.773180784
CD93,0.361141016,0.773180784
MIR320B2,-0.532605846,0.773357482
ITFG2,0.049113625,0.773460565
CYP4F3,-0.560140104,0.77379476
LINC02088,-0.392229998,0.774573101
LOC107985038,0.495189922,0.774573101
LOC105371965,-0.590942666,0.774802182
TUBB_5,-0.204878097,0.774802182
NBDY,0.068550776,0.775046577
LOC112267892,0.50553202,0.775118318
LOC105369968,-0.17225078,0.775242909
LOC105377461,0.467102313,0.775242909
LCT,-0.50795402,0.775259643
CNOT3_5,0.573788671,0.775452235
LOC105376387,-0.565734235,0.775592224
LINC02576,-0.42466594,0.775984769
TBC1D7,-0.118048669,0.775984769
ZNF295-AS1,0.361244456,0.776011188
TERC,0.277534403,0.776098438
LOC100132781,-0.454171673,0.776141733
LYRM9,0.119268031,0.776161302
RNF213-AS1,0.188867424,0.776161302
GCNT2_1,0.254913417,0.776161302
ANKHD1,-0.117009807,0.776179001
LOC105374260,-0.543528096,0.776203298
LINC01023,0.13913849,0.776203298
LOC107984198,-0.510394676,0.776259265
LINC00092,-0.292388703,0.776480963
CASR,0.552081797,0.776517435
MYL5,0.174435917,0.77662754
SNORD116-9,0.34925255,0.776680394
MIR548AN,0.533245273,0.776838204
GOT2,0.037926029,0.776873214
SLC38A2,0.051087607,0.776873214
LOC107985500,0.516525417,0.776884688
LINC02679,-0.312819734,0.776898566
LOC171391,0.121645783,0.777074297
DDX24_1,-0.259277962,0.777130573
CTAGE11P,-0.574697153,0.777347858
UCKL1-AS1,0.277217278,0.777464309
LOC105369915,-0.378163924,0.777642977
MIR6791,-0.449777607,0.77775385
SCTR-AS1,-0.535550387,0.777868246
MLLT6,0.473603958,0.777868246
C10orf95,0.239242765,0.778039224
ZNF790-AS1,-0.453317841,0.778092053
LOC105377663,0.323705134,0.778120785
HSP90B2P,-0.169140382,0.778130911
MIR559,0.549337529,0.778130911
NRN1L,0.238338611,0.778199321
ANGPTL3,-0.471127946,0.778552189
LOC107985788,-0.355456987,0.77870415
TBX18,-0.451353626,0.778752378
LOC112267938,-0.212618027,0.778752378
POC1B-AS1,0.167072221,0.778752378
CEP104,0.048779302,0.779287391
HDC,-0.381028183,0.779346541
ARF3,0.087034829,0.779504713
APOM,-0.479321209,0.7797264
LOC110384692,0.5712384,0.779977612
TCF12,-0.050637925,0.779992251
ABR,0.213396342,0.779999868
IQCF1,-0.560819574,0.780057194
SMG1,-0.086224854,0.780057194
LOC105370362,0.35525199,0.780057194
MIR1281,0.189412327,0.78011573
TRAF3IP3,0.339644238,0.78011573
LOC107983998,0.183980209,0.78024397
ASMTL-AS1_1,0.400767096,0.78024397
ZNF573,0.136321833,0.780300776
NKX2-4,-0.570089497,0.780393752
ZDHHC23,0.167505729,0.78061959
KDM5A,-0.073107528,0.780707792
LOC105372964,-0.546609682,0.780852684
PMEL,0.112743287,0.780860005
LOC105369626,-0.567093385,0.780892963
LINCR-0001_1,0.497299347,0.780924753
DLG5_1,0.379954456,0.781142646
LOC105374746,0.382762184,0.781360961
BAG6,0.297847892,0.781512006
LOC107986918,-0.544691928,0.781573525
LOC105375270,-0.345604387,0.781598352
PRKACA_1,0.417179504,0.781598352
LOC107984589,-0.343258304,0.781837725
DIS3,-0.041779386,0.781922935
E2F1,0.131833054,0.782062755
LOC107986080,-0.497410696,0.782087627
LOC105379101,0.543761732,0.782204872
WARS1,0.097843587,0.782208852
LOC105375514,0.570012497,0.782243498
LOC105370923,0.55835274,0.782250813
CYP3A4,0.388410133,0.782417237
LINC01629,0.57320326,0.782517463
LOC107984526,-0.525770621,0.782602019
LOC105378847,0.317781981,0.782602019
LOC107985065,-0.569901553,0.782641988
MPP7-DT,0.558074519,0.782662257
LOC105373451,0.553743922,0.782737977
PRKY,0.195860174,0.78277601
MBOAT7_4,0.526089006,0.78277601
DCP1B_1,-0.540137074,0.78281071
NKAPL,0.54616888,0.782838639
KRT87P,0.563995335,0.782856646
PRPF8,-0.233869289,0.782859762
LOC105370124,0.311767959,0.782859762
RXRB_5,0.513084361,0.782859762
PIWIL4-AS1,0.557639289,0.783062828
LOC105371351,-0.568183575,0.783304734
EXTL3-AS1,0.251734681,0.783304734
AKAP10,-0.064921283,0.78347946
LOC102724731,-0.173615712,0.783904479
DEAF1_1,-0.294212386,0.784032476
LINC00847,-0.096034028,0.784076562
SRSF12,0.045281989,0.784076562
LOC107986489,-0.449025238,0.784542358
LOC105371345,0.393531123,0.784548194
LOC105374971,0.522175089,0.784907614
GADL1,-0.310570915,0.78503751
RNASEH2B,-0.120163881,0.78503751
LOC105375417,0.543913382,0.78503751
GJA9-MYCBP,0.523320757,0.785115942
LOC105378821,-0.557062308,0.785478324
PFDN1,-0.054611596,0.785523715
MCTP2,0.302836527,0.785523715
LOC112268203,0.493124345,0.785523715
ITGAD,-0.565369172,0.785544234
RPL38,-0.068898894,0.785544234
OCIAD1-AS1,-0.20849103,0.785698326
MEIOSIN,-0.498821491,0.785805707
PKD1P5-LOC105376752,-0.111654256,0.785805707
LOC101927506,0.398600282,0.785805707
LOC105370780,-0.528782929,0.785875143
LOC102724117,0.487843882,0.785909939
SNORD116-25,-0.467562289,0.786128954
EDF1,0.08017689,0.786210765
CAPG,0.129454073,0.786210765
DNAH8,0.465348584,0.786210765
RNF151,-0.37330558,0.786224902
LOC107986523,-0.557063155,0.786355389
CD200R1L,0.46393923,0.786441793
TNFAIP1,0.080952314,0.786555585
LOC107985011,-0.552049856,0.78661821
LOC105369421,0.378733385,0.78661821
PRKAR2B-AS1,0.523033817,0.786724442
NOX1,-0.501322765,0.7868145
LOC105377473,0.561246092,0.786864014
PUF60_1,-0.322866871,0.786947123
COLQ,0.114009413,0.787021903
LZIC,-0.062242941,0.787074106
LOC105378949,0.158810647,0.787080549
CLSTN2-AS1,-0.559794833,0.787202268
LOC107985972,0.473352974,0.78735041
SCARNA9L,0.509384242,0.787444713
ATP5MF,-0.082656313,0.787613227
LOC105375422,-0.398066978,0.787873111
DIPK2A,-0.090095242,0.787873111
MCPH1-DT,-0.085616518,0.787873111
ZC3H3,-0.045443341,0.787939915
LOC105377205,0.234514052,0.788150402
PARP11,0.0370589,0.788280311
LOC107985986,-0.49652895,0.788537789
OGFOD2,0.069100643,0.78874083
PP12613,0.513918573,0.78874083
SMIM6,-0.551829398,0.78879157
KLHL41,-0.218191676,0.789019094
MYLK-AS1,0.12679043,0.789370431
LOC107985256,0.41368944,0.789370431
LOC107984756,-0.478171979,0.78943563
LOC105371257,-0.464209111,0.789545265
LOC105374944,-0.534505883,0.789597811
TREML1,-0.498013113,0.789621082
LOC105376626,0.496012079,0.789706605
LOC101927727,0.555371936,0.789845177
AGAP5,0.226683057,0.789850874
GPKOW,-0.047474159,0.789851195
LINC02378,0.526602892,0.789909925
GABRA4,-0.55246163,0.790080062
LOC105374711,0.542490125,0.790080062
FKBPL_2,-0.534657227,0.790130369
LOC107984946,0.20118291,0.790195263
LOC107986119,-0.080108452,0.790209925
HAO2,-0.454822459,0.790482948
MIR10523,-0.433572235,0.790482948
SEC61B,-0.089717741,0.790482948
CLDN7,-0.51745087,0.790574753
LOC105370126,0.414005659,0.790574753
CBLN3,-0.184441614,0.790661653
ARHGAP11A_3,-0.553362515,0.790673536
MIR9-1HG,0.202534909,0.790673536
FLVCR1-DT,-0.060804186,0.790728996
GNAT1,-0.486701756,0.791097135
LOC105372156,-0.548094818,0.791150151
LOC101927072,0.509332326,0.791463746
SNX7,0.080185845,0.791734445
LINC00702,-0.550373793,0.791738991
PLK5,-0.18122421,0.791738991
RABL6,0.064409026,0.791738991
LOC107986671,0.423013033,0.791738991
IFT122,0.045457065,0.792674986
IGBP1P1,0.358709225,0.792674986
HIKESHIP2,-0.204732281,0.793298328
PPP2CB,0.047335095,0.793298328
LOC105376964,0.523292135,0.793341718
LOC105378723,-0.519438962,0.793346935
PLEKHA7,-0.110888366,0.793432184
LOC105378148,0.544843755,0.793600849
ZNF551,-0.04899734,0.793708243
TPI1P3,0.357203754,0.793805992
TUBGCP5_2,-0.290040267,0.793931522
ZNF397,0.091592488,0.793931522
LOC105371085,0.383122929,0.793931522
CCDC78,0.203693647,0.793967891
TBCD_1,-0.09243168,0.793984274
LOC105372180,0.209657567,0.793984274
PYY2,-0.219163785,0.794049849
LOC105375359,0.532328941,0.794160716
CDYL2,-0.253383181,0.794368814
SCARNA2,-0.380084449,0.79442168
ZNF470,-0.081954925,0.79442168
PARK7,-0.045013986,0.794563544
LOC105372494,-0.543450777,0.794565741
RRS1-DT,-0.316141486,0.794565741
FGF17,0.236151313,0.794565741
BIRC7,0.472008697,0.794565741
LOC105378555,0.394826779,0.794621614
LOC339666,0.171816816,0.794645918
LRRC37A_1,0.427026176,0.79467954
LOC105372261,-0.488511967,0.794736016
LINC01179,-0.544446749,0.79477051
PARP11-AS1,-0.527521148,0.794830541
LOC105375724,-0.541514886,0.794910623
PRAMEF12,-0.449705449,0.794911244
LOC105373057,-0.16801318,0.795347407
CHMP2A,0.064142675,0.795347407
LOC93463,0.498058662,0.795347407
LOC101927490,-0.384673488,0.795481914
WBSCR23,-0.367582068,0.795785343
ADAM28,0.431158202,0.795785343
LOC105372756,0.541791589,0.795785343
TNFAIP8L1,0.121357796,0.795998591
HMOX1,0.149287938,0.795998591
ST20-AS1,0.11464729,0.796056843
MED18_1,0.42312935,0.79606222
PRSS53,0.163418049,0.796267554
SNORD137,-0.536861538,0.79660218
LOC105374810,-0.538782201,0.796844153
SLC35E4,0.092880398,0.796992546
LOC105375260,0.445694184,0.79699721
TASP1,0.057021531,0.79705931
FNDC7,-0.144928265,0.797181119
MIR12136,-0.18843466,0.797185042
LOC107985423,-0.106062072,0.797345801
SLC5A4-AS1,-0.158014337,0.797347375
KANSL1_2,-0.312861918,0.797437968
B4GALT6,-0.052953058,0.797443311
LINC00184,-0.513783611,0.797686535
CRYBB1,-0.176308143,0.797715003
DLD,0.050883241,0.797734238
LRRC71,0.278953438,0.797822622
ARHGDIA,-0.097566254,0.797828911
ATAT1,-0.505571512,0.797882666
KMT2D,-0.084017308,0.797882666
LOC101928237,0.248915655,0.797882666
FAM86C1P,-0.100779343,0.797954349
LOC107986868,0.509371027,0.797954349
VPS53,0.24091126,0.798111019
TMEM87A,-0.042114807,0.798118683
LOC105370932,0.418352699,0.798207243
LINC01748,-0.435039493,0.798228976
MPPED2-AS1,0.518798339,0.798228976
CHCHD1,-0.079671363,0.798362581
LOC102724784,0.496017219,0.798362581
IRF1,0.113387822,0.798608409
SNORA49,-0.501042285,0.798636728
LOC101927241,0.191756215,0.798636728
DDX58,0.106626421,0.79864726
LOC105372435,0.289628545,0.798756612
INO80,-0.074807771,0.798764396
LOC107986942,-0.453677809,0.798810313
MRPL45,0.12695768,0.798810313
TRPV6,0.346808948,0.798810313
AP1G2,0.172252018,0.798858584
SCART1,0.268078486,0.798858584
COL28A1,0.264214248,0.799241372
LRRC31,-0.532662981,0.799282887
YIF1B,-0.066338436,0.799282887
SHANK2-AS3,0.527425468,0.799380512
KRT8P41,-0.506372197,0.799410001
LOC107986717,0.374101072,0.799468003
LOC107986109,0.238142748,0.799470463
PIK3IP1-DT,-0.217170176,0.799668644
TMCO1-AS1,0.200138359,0.799668644
LOC105378963,-0.402699467,0.7998714
RIC8A,-0.100486483,0.7998714
LOC101928354,-0.424131349,0.799886489
OGFR-AS1,0.201670674,0.799920503
SDHAP2_5,-0.345578752,0.800033545
LOC107985847,-0.375142627,0.800102227
JOSD1,-0.042275034,0.800102227
LOC105379028,0.174117905,0.800184498
WDR97,0.225260976,0.800228582
LOC107984952,-0.278572957,0.800392773
LOC107986578,-0.469613503,0.800673456
LOC105374296,-0.516291052,0.800725249
OR6A2,-0.527888319,0.800812915
PDILT,0.482212655,0.800812915
LOC105375688,0.466383012,0.800844797
LOC105374769,-0.455758099,0.801072213
ALG1L9P,-0.14056987,0.801072213
LOC107985207,0.311952426,0.801072213
LOC105370614,0.421618434,0.801072213
ITFG2-AS1,0.463324226,0.801072213
F8A2,0.504742144,0.801072213
GZMK,0.522987888,0.801072213
ALG10,0.08850075,0.801152215
SOX13,0.094603312,0.801152215
IFT88,0.081121748,0.80122143
WDFY4,0.429994837,0.801414964
ASAP1,-0.075869766,0.801828986
MIR4479,-0.275035015,0.801955427
CACNG6,-0.267734339,0.801955427
LOC107985314,-0.206212489,0.801955427
LOC107986079,-0.213247924,0.802019885
RYBP_1,0.096639105,0.802019885
LOC105378577,0.494406895,0.802019885
LGALS7,-0.507750403,0.802235655
GUSBP2,-0.140961677,0.802248055
COX16,-0.113510809,0.802350478
ROBO4,0.41117241,0.802350478
LOC285593,0.312920509,0.802576011
C2orf42,-0.057251502,0.802704526
CDH4,0.104839629,0.802704526
NDUFV1-DT,0.249205427,0.802704526
PKD1_1,0.140246504,0.803094406
UOX,-0.485673593,0.803206373
SECISBP2,0.036202606,0.803206373
LOC107986350,0.498781534,0.803277125
LOC107985200,0.290048215,0.80329412
BUB3,0.056139379,0.803397399
LOC105373994,-0.519559222,0.803563092
LOC105375228,-0.242509451,0.803612846
LOC105377795,-0.521552482,0.803895099
FLOT1_5,0.481317643,0.803895099
LOC727751,-0.135246374,0.8041486
CYP2D7_1,-0.266404166,0.804193347
SREK1,0.066219184,0.804193347
LTB4R,0.431304666,0.804205096
HAX1,-0.059054099,0.804547498
SNORD3K,-0.386537271,0.804560163
OR10A4,0.508141753,0.804560163
TPTEP1,0.48971293,0.804676621
C1orf105,0.405265493,0.804709202
TENT5D,-0.397624023,0.80507039
LINC02443,0.499243857,0.805084514
LOC105372309,0.346173471,0.805127401
LOC101929963,0.51467292,0.80542819
UFC1,-0.045452465,0.805497432
LOC105371055,0.291287251,0.805610789
MPV17L,0.201257628,0.805803553
LOC104054148,-0.511512716,0.805938276
DAXX_4,-0.18517089,0.805938276
DUSP16,-0.334343081,0.806189174
LOC105371501,-0.381549055,0.806332431
LOC105375027,0.436859702,0.806770554
LOC105372922,-0.493906915,0.806988848
LOC102723331,0.250087897,0.806988848
FAM221B,0.289880865,0.807062086
LOC105378410,-0.202568668,0.807764449
EP400P1,-0.092275728,0.807764449
BOLL,0.421153607,0.807764449
LINC01918,-0.132212074,0.807873027
TYRO3P,0.404737375,0.808116727
RPS9_2,-0.494069195,0.808153298
NALCN,0.15296598,0.808153298
RP9,0.05083748,0.808668187
NCKAP5-AS1,0.489804905,0.808678812
RBAK,0.034165931,0.808693787
NXPE3,0.051731955,0.808693787
TBX21,-0.489788818,0.809035637
